Title,Restaurant,Menu,Category,Description,Price,Status,Action,# Sides,Side:Cost(Choose #),Size(Choose 1),Options:Cost(Choose 1),Additional options(Choose 1),Additional options(Choose 1),Add-ons:Cost (Choose Any),Temp (Choose 1)
Drunken Chicken Alfredo Pasta,Bin 612,All Day,Entrees,Big green egg roasted chicken tossed in alfredo cream sauce over fettucini pasta.,15.95,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Buffalo Tender Cheese Fries:4:50, Cheese Fries:4:50, Philly Cheese Steak Fries:4:50, Chicken Tender Cheese Fries:4:50, Hot Bacon Cheese Fries:4:50, Shrimp Avocado Cheese Fries:4:50, Truffle Parm Cheese Fries:4:42",
Queso Burger,Bin 612,All Day,Entrees,"Black Angus beef patty, queso cheese, roasted garlic aioli, lettuce, tomato and red onion served on focaccia bread.",11.95,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Buffalo Tender Cheese Fries:4:50, Cheese Fries:4:50, Philly Cheese Steak Fries:4:50, Chicken Tender Cheese Fries:4:50, Hot Bacon Cheese Fries:4:50, Shrimp Avocado Cheese Fries:4:50, Truffle Parm Cheese Fries:4:43",
Southwest Burger,Bin 612,All Day,Entrees,"Black Angus beef patty, avocado, sliced pepper jack, roasted garlic aioli, lettuce, tomato and red onion. Served on focaccia bread",11.95,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Buffalo Tender Cheese Fries:4:50, Cheese Fries:4:50, Philly Cheese Steak Fries:4:50, Chicken Tender Cheese Fries:4:50, Hot Bacon Cheese Fries:4:50, Shrimp Avocado Cheese Fries:4:50, Truffle Parm Cheese Fries:4:44",
Veggie Burger,Bin 612,All Day,Entrees,"Red bean, rice, celery, bell pepper, onion and panko bread crumb patty finished with lettuce, tomato, red onion and garlic aioli.",9.95,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Buffalo Tender Cheese Fries:4:50, Cheese Fries:4:50, Philly Cheese Steak Fries:4:50, Chicken Tender Cheese Fries:4:50, Hot Bacon Cheese Fries:4:50, Shrimp Avocado Cheese Fries:4:50, Truffle Parm Cheese Fries:4:45",
Chicken Club Panini,Bin 612,All Day,Panini,"Roasted chicken, hickory smoked bacon, mozzarella, pesto aioli, lettuce & tomato, served on focaccia bread. *Contains tree nuts*",10.50,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Buffalo Tender Cheese Fries:4:50, Cheese Fries:4:50, Philly Cheese Steak Fries:4:50, Chicken Tender Cheese Fries:4:50, Hot Bacon Cheese Fries:4:50, Shrimp Avocado Cheese Fries:4:50, Truffle Parm Cheese Fries:4:46",
Grilled Chicken Sandwich,Bin 612,All Day,Panini,"Grilled chicken breast, Swiss cheese, caramelized onion & garlic aioli. Served on focaccia bread.",10.95,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Buffalo Tender Cheese Fries:4:50, Cheese Fries:4:50, Philly Cheese Steak Fries:4:50, Chicken Tender Cheese Fries:4:50, Hot Bacon Cheese Fries:4:50, Shrimp Avocado Cheese Fries:4:50, Truffle Parm Cheese Fries:4:47",
Philly Cheese Steak,Bin 612,All Day,Panini,"Sauteed onions, peppers & seared beef topped with cheese sauce on French bread. Served with BBQ steak fries.",8.95,Active,"Activate, Deactivate, Feature, Edit",0,,"Half:8.95, Whole:11.95",,,,"Buffalo Tender Cheese Fries:4:50, Cheese Fries:4:50, Philly Cheese Steak Fries:4:50, Chicken Tender Cheese Fries:4:50, Hot Bacon Cheese Fries:4:50, Shrimp Avocado Cheese Fries:4:50, Truffle Parm Cheese Fries:4:48",
Shrimp Poorboy,Bin 612,All Day,Panini,Cajun battered baby gulf shrimp tossed in house seasonings. Served with remoulade sauce on French bread. Your choice of side.,10.50,Active,"Activate, Deactivate, Feature, Edit",0,,"Half:10.50, Whole:14.95",,,,"Buffalo Tender Cheese Fries:4:50, Cheese Fries:4:50, Philly Cheese Steak Fries:4:50, Chicken Tender Cheese Fries:4:50, Hot Bacon Cheese Fries:4:50, Shrimp Avocado Cheese Fries:4:50, Truffle Parm Cheese Fries:4:49",
The Italian,Bin 612,All Day,Panini,"Imported pepperoni, picked drunken chicken, hickory smoked bacon, Italian sausage, fresh mozzarella, lettuce & tomato. Served on focaccia.",10.50,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,"Buffalo Tender Cheese Fries:4:50, Cheese Fries:4:50, Philly Cheese Steak Fries:4:50, Chicken Tender Cheese Fries:4:50, Hot Bacon Cheese Fries:4:50, Shrimp Avocado Cheese Fries:4:50, Truffle Parm Cheese Fries:4:50",
BBQ Chicken,Bin 612,All Day,Pizza,"Saffron cream sauce, drunken chicken, hickory smoked bacon, oven-dried tomatoes and caramelized onions. Finished with our house BBQ spice blend.",13.95,Active,"Activate, Deactivate, Feature, Edit",0,,"Regular:13.95, Large:21.00",,,,,
Drunken Chicken,Bin 612,All Day,Pizza,"Big green egg roasted chicken, tomato sauce, caramelized onion and basil pesto. Topped with mozzarella and blue cheese. *Contains tree nuts*",13.95,Active,"Activate, Deactivate, Feature, Edit",0,,"Regular:13.95, Large:20.00",,,,,
Make Your Own Pizza,Bin 612,All Day,Pizza,Make your own pizza,11.95,Active,"Activate, Deactivate, Feature, Edit",0,,"Regular:11.95, Large:20.00","Tomato Sauce, Saffron Creme Sauce, Pest Creme Sauce","Artichoke Hearts, Bell Peppers, Blue Cheese, Caramelized Onions, Oven Roasted Tomatoes, Mushrooms, Parmesan, Red Onions, Spinach Mix, Hickory Smoked Bacon, Italian Sausage, Pepperoni, Drunken Chicken:2.95",,,
Spinach Florentine ,Bin 612,All Day,Pizza,"Saffron cream sauce, spinach, artichoke hearts and mozzarella cheese.",13.95,Active,"Activate, Deactivate, Feature, Edit",0,,"Regular:13.95, Large:20.00",,,,,
The Carne,Bin 612,All Day,Pizza,"Tomato sauce, roasted chicken, hickory smoked bacon and imported pepperoni.",13.95,Active,"Activate, Deactivate, Feature, Edit",0,,"Regular:13.95, Large:20.00",,,,,
BBQ French Fries,Bin 612,All Day,Sides,BBQ french fries,,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,Add Queso Cheese:2.95,
Creamed Cheese Grits,Bin 612,All Day,Sides,Cream cheese grits,,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
Fruit,Bin 612,All Day,Sides,Fruit cup,,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
Kettle Chips,Bin 612,All Day,Sides,Jalapeno or BBQ kettle chips,,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
House Salad,Bin 612,All Day,Soup & Salad,Spring mix and parmesan cheese tossed in a balsamic vinaigrette.,4.95,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,Add Chicken:2.95,
Roasted Chicken Salad,Bin 612,All Day,Soup & Salad,"Seasonal lettuce topped with blue cheese, candied Mississippi honey pecans and hickory smoked bacon. Tossed in a slow cooked caramelized onion vinaigrette dressing. *Contains tree nuts*",9.95,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
Salmon Salad,Bin 612,All Day,Soup & Salad,Pan-roasted Atlantic salmon atop seasonal lettuce. Served with sesame balsamic vinaigrette.,9.95,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
Seasonal Soup,Bin 612,All Day,Soup & Salad,Seasonal soup bowl,3.95,Active,"Activate, Deactivate, Feature, Edit",0,,"Cup:3.95, Bowl:6.95",,,,,
Avocado Fries,Bin 612,All Day,Starters,Fresh avocado hand-battered and fried. Served with remoulade sauce.,8.95,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
Pimento & Cheese Balls,Bin 612,All Day,Starters,"Fried house-made pimento and cheese, served with ranch dipping sauce.",8.95,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
Chicken Nachos,Bin 612,All Day,Starters,"Grilled chicken, red onions, jalapenos, tomatoes and white cheese sauce. Served over house-made tortilla chips.",5.95,Active,"Activate, Deactivate, Feature, Edit",0,,"Half:5.95, Full:10.95",,,,Extra Cheese Sauce:2.95,
Salmon Slider,Bin 612,All Day,Starters,"Toasted focaccia topped w/pesto cream cheese, red onions and seared salmon. Finished w/balsamic reduction. *Contains tree nuts*",9.95,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
Italian,Bin 612,All Day,Tacos,"Italian sausage, bacon, caramelized onions, pesto, mozzarella cheese, creme fraiche. *Contains tree nuts*",3.95,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
Pork Sweat,Bin 612,All Day,Tacos,"Grilled pork chop, local honey, corn truffle, blue cheese, jalepeno creme.",3.95,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
Yard Bird,Bin 612,All Day,Tacos,"Fried or grilled chicken, lime creme, fried chicken, queso, pico de gallo.",3.95,Active,"Activate, Deactivate, Feature, Edit",0,,,"Fried, Grilled",,,,
Pepe's Peeps,Bin 612,All Day,Tacos,"Fried or grilled shrimp, remoulade, mozzarella, pico de gallo.",3.95,Active,"Activate, Deactivate, Feature, Edit",0,,,"Fried, Grilled",,,,
The Deep End,Bin 612,All Day,Tacos,"Griled salmon, pesto creme, lemon, pico de gallo. *Contains tree nuts*",3.95,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
Veggie,Bin 612,All Day,Tacos,"Fried avacado, portobello mushroom, lime creme, caramelized onion vinaigrette, pico de gallo.",3.95,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
Gulf Shrimp,Bin 612,All Day,Pizza,"Saffron pesto creme, spinach, artichoke hearts, parmesan, gulf shrimp, mozzarella cheese. *Contains tree nuts*",13.95,Active,"Activate, Deactivate, Feature, Edit",0,,"Regular:13.95, Large:21.00",,,,,
Avocado,Bin 612,All Day,Pizza,"Pesto, EVOO, roasted tomato, avocado, and mozzarella cheese. *Contains tree nuts*",13.95,Active,"Activate, Deactivate, Feature, Edit",0,,"Regular:13.95, Large:21.00",,,,,
Italian Sausage,Bin 612,All Day,Pizza,"Tomato sauce, Italian sausage and shiitake mushrooms topped with mozzarella and finished with white truffle oil.",13.95,Active,"Activate, Deactivate, Feature, Edit",0,,"Regular:13.95, Large:20.00",,,,,
Avocado Toast,City Bagel Cafe,Breakfast & Lunch,Bagel Sandwiches,"Hummus, avocado, cherry tomato, Kalamata olives, capers, finished with fresh pesto, and EVOO.",8.95,Active,"Activate, Deactivate, Feature, Edit",0,,,"Spinach and Cheddar, Jalapeno and Cheddar, Asiago Cheese, Red Pepper Parmesan, Specialty Bagel, Sesame, Poppy Seed, Everything Bagel, Onion, Cinnamon Raisin, Cinnamon Sugar, Whole Wheat, Honey, Focaccia, Italian Roll, Plain",,,"Regular Mayo, Chipotle Mayo, Pesto Mayo, Yellow Mustard, Honey Mustard, Creole Mustard",
BLT,City Bagel Cafe,Breakfast & Lunch,Bagel Sandwiches,"Bacon, lettuce, tomato, and mayo.",8.25,Active,"Activate, Deactivate, Feature, Edit",0,,,"Spinach and Cheddar, Jalapeno and Cheddar, Asiago Cheese, Red Pepper Parmesan, Specialty Bagel, Sesame, Poppy Seed, Everything Bagel, Onion, Cinnamon Raisin, Cinnamon Sugar, Whole Wheat, Honey, Focaccia, Italian Roll, Plain",,,"Regular Mayo, Chipotle Mayo, Pesto Mayo, Yellow Mustard, Honey Mustard, Creole Mustard",
City Club,City Bagel Cafe,Breakfast & Lunch,Bagel Sandwiches,"Ham, turkey, bacon, cheddar, pepper jack, lettuce, and tomato.",10.00,Active,"Activate, Deactivate, Feature, Edit",0,,,"Spinach and Cheddar, Jalapeno and Cheddar, Asiago Cheese, Red Pepper Parmesan, Specialty Bagel, Sesame, Poppy Seed, Everything Bagel, Onion, Cinnamon Raisin, Cinnamon Sugar, Whole Wheat, Honey, Focaccia, Italian Roll, Plain",,,"Regular Mayo, Chipotle Mayo, Pesto Mayo, Yellow Mustard, Honey Mustard, Creole Mustard",
Jive Turkey,City Bagel Cafe,Breakfast & Lunch,Bagel Sandwiches,"Turkey, pepper jack cheese, lettuce, tomato, bacon, avocado,
 and Chipotle mayo.",10.00,Active,"Activate, Deactivate, Feature, Edit",0,,,"Spinach and Cheddar, Jalapeno and Cheddar, Asiago Cheese, Red Pepper Parmesan, Specialty Bagel, Sesame, Poppy Seed, Everything Bagel, Onion, Cinnamon Raisin, Cinnamon Sugar, Whole Wheat, Honey, Focaccia, Italian Roll, Plain",,,"Regular Mayo, Chipotle Mayo, Pesto Mayo, Yellow Mustard, Honey Mustard, Creole Mustard",
Lox Sandwich,City Bagel Cafe,Breakfast & Lunch,Bagel Sandwiches,"Served with red onion, tomato, capers, and cream cheese.",8.25,Active,"Activate, Deactivate, Feature, Edit",0,,,"Spinach and Cheddar, Jalapeno and Cheddar, Asiago Cheese, Red Pepper Parmesan, Specialty Bagel, Sesame, Poppy Seed, Everything Bagel, Onion, Cinnamon Raisin, Cinnamon Sugar, Whole Wheat, Honey, Focaccia, Italian Roll, Plain",,,"Regular Mayo, Chipotle Mayo, Pesto Mayo, Yellow Mustard, Honey Mustard, Creole Mustard",
Melt,City Bagel Cafe,Breakfast & Lunch,Bagel Sandwiches,"Served with your choice of cheese, cold cut, chicken salad, or tuna salad.",8.75,Active,"Activate, Deactivate, Feature, Edit",0,,,"Spinach and Cheddar, Jalapeno and Cheddar, Asiago Cheese, Red Pepper Parmesan, Specialty Bagel, Sesame, Poppy Seed, Everything Bagel, Onion, Cinnamon Raisin, Cinnamon Sugar, Whole Wheat, Honey, Focaccia, Italian Roll, Plain",,,"Regular Mayo, Chipotle Mayo, Pesto Mayo, Yellow Mustard, Honey Mustard, Creole Mustard",
Muffuletta,City Bagel Cafe,Breakfast & Lunch,Bagel Sandwiches,"Pastrami, salami, pepperoni, and mozzarella with olive salad
.",10.00,Active,"Activate, Deactivate, Feature, Edit",0,,,"Spinach and Cheddar, Jalapeno and Cheddar, Asiago Cheese, Red Pepper Parmesan, Specialty Bagel, Sesame, Poppy Seed, Everything Bagel, Onion, Cinnamon Raisin, Cinnamon Sugar, Whole Wheat, Honey, Focaccia, Italian Roll, Plain",,,"Regular Mayo, Chipotle Mayo, Pesto Mayo, Yellow Mustard, Honey Mustard, Creole Mustard",
Pizza Bagel,City Bagel Cafe,Breakfast & Lunch,Bagel Sandwiches,"Heated bagel, focaccia bread, or Italian roll, with sauce and mozzarella.",9.95,Active,"Activate, Deactivate, Feature, Edit",0,,,"Spinach and Cheddar, Jalapeno and Cheddar, Asiago Cheese, Red Pepper Parmesan, Specialty Bagel, Sesame, Poppy Seed, Everything Bagel, Onion, Cinnamon Raisin, Cinnamon Sugar, Whole Wheat, Honey, Focaccia, Italian Roll, Plain",,,"Spinach:0.50, Tomato:0.50, Cucumber:0.50, Red Onion:0.50, Black Olives:0.50, Capers:0.50, Green Pepper:0.50, Jalapeno:0.50, Mushroom:0.50, Ham:1.50, Bacon:1.50, Sausage:1.50, Pepperoni:1.50, Add Extra Cheese:1.00",
Southwest,City Bagel Cafe,Breakfast & Lunch,Bagel Sandwiches,"Chicken, Black beans, avocado, pepper jack, and chipotle mayo.",8.50,Active,"Activate, Deactivate, Feature, Edit",0,,,"Spinach and Cheddar, Jalapeno and Cheddar, Asiago Cheese, Red Pepper Parmesan, Specialty Bagel, Sesame, Poppy Seed, Everything Bagel, Onion, Cinnamon Raisin, Cinnamon Sugar, Whole Wheat, Honey, Focaccia, Italian Roll, Plain",,,"Regular Mayo, Chipotle Mayo, Pesto Mayo, Yellow Mustard, Honey Mustard, Creole Mustard",
Veggie Burger,City Bagel Cafe,Breakfast & Lunch,Bagel Sandwiches,"On focaccia with mozzarella, lettuce, tomato, and mayo.",8.25,Active,"Activate, Deactivate, Feature, Edit",0,,,"Spinach and Cheddar, Jalapeno and Cheddar, Asiago Cheese, Red Pepper Parmesan, Specialty Bagel, Sesame, Poppy Seed, Everything Bagel, Onion, Cinnamon Raisin, Cinnamon Sugar, Whole Wheat, Honey, Focaccia, Italian Roll, Plain",,,"Regular Mayo, Chipotle Mayo, Pesto Mayo, Yellow Mustard, Honey Mustard, Creole Mustard",
Bag of Bagel Chips,City Bagel Cafe,Breakfast & Lunch,Bagel Sandwiches,Bag of bagel chips.,4.75,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
Deluxe Bagel,City Bagel Cafe,Breakfast & Lunch,Bagel Sandwiches,"Spinach and cheddar, jalapeno and cheddar, asiago cheese, red pepper parmesan, or specialty bagel.",1.50,Active,"Activate, Deactivate, Feature, Edit",0,,,"Heated, Toasted, Plain","Sliced, Whole",,"Butter:0.50, Butter Cinnamon and Sugar:1.25, Jam:0.75, Cinnamon Sugar:0.75, Peanut Butter:1.25, Honey:1.25, Plain:1.75, Low Fat Cream Cheese:1.75, Mediterranean Cream Cheese:2.25, Green Olive Cream Cheese:2.25, Garlic Herb Cream Cheese:2.25, Veggie Cream Cheese:2.25, Cinnamon Sugar Cream Cheese:2.25, Low Fat Strawberry Cream Cheese:2.25",
Flavored Bagel/Rolls/Breads,City Bagel Cafe,Breakfast & Lunch,Bagel Sandwiches,"Italian roll, focaccia, sesame, poppy seed, everything, onion, cinnamon
raisin, cinnamon sugar, whole wheat, or honey.",1.25,Active,"Activate, Deactivate, Feature, Edit",0,,,"Heated, Toasted, Plain","Sliced, Whole",,"Butter:0.50, Butter Cinnamon and Sugar:1.25, Jam:0.75, Cinnamon Sugar:0.75, Peanut Butter:1.25, Honey:1.25, Plain:1.75, Low Fat Cream Cheese:1.75, Mediterranean Cream Cheese:2.25, Green Olive Cream Cheese:2.25, Garlic Herb Cream Cheese:2.25, Veggie Cream Cheese:2.25, Cinnamon Sugar Cream Cheese:2.25, Low Fat Strawberry Cream Cheese:2.26",
Plain Bagel,City Bagel Cafe,Breakfast & Lunch,Bagel Sandwiches,Plain bagel,1.00,Active,"Activate, Deactivate, Feature, Edit",0,,,"Heated, Toasted, Plain","Sliced, Whole",,"Butter:0.50, Butter Cinnamon and Sugar:1.25, Jam:0.75, Cinnamon Sugar:0.75, Peanut Butter:1.25, Honey:1.25, Plain:1.75, Low Fat Cream Cheese:1.75, Mediterranean Cream Cheese:2.25, Green Olive Cream Cheese:2.25, Garlic Herb Cream Cheese:2.25, Veggie Cream Cheese:2.25, Cinnamon Sugar Cream Cheese:2.25, Low Fat Strawberry Cream Cheese:2.27",
Bag of Deluxe Bagels,City Bagel Cafe,Breakfast & Lunch,Bagel Sandwiches,"Spinach and cheddar, jalapeno and cheddar, asiago cheese, red pepper parmesan, or specialty bagel.",,Active,"Activate, Deactivate, Feature, Edit",0,,"Half Dozen, Bakers Dozen","Spinach and Cheddar, Jalapeno and Cheddar, Asiago Cheese, Red Pepper Parmesan, Specialty Bagel",,,,
Bag of Flavored Bagels/Rolls/Breads,City Bagel Cafe,Breakfast & Lunch,Bagel Sandwiches,"Italian roll, focaccia, sesame, poppy seed, everything, onion, cinnamon
raisin, cinnamon sugar, whole wheat, or honey.",,Active,"Activate, Deactivate, Feature, Edit",0,,"Half Dozen, Bakers Dozen","Sesame, Poppy Seed, Everything Bagel, Onion, Cinnamon Raisin, Cinnamon Sugar, Whole Wheat, Honey, Focaccia, Italian Roll, Plain",,,,
Bag of Plain Bagels,City Bagel Cafe,Breakfast & Lunch,Bagel Sandwiches,Bag of plain bagels.,,Active,"Activate, Deactivate, Feature, Edit",0,,"Half Dozen, Bakers Dozen",,,,,
Local Whole Milk,City Bagel Cafe,Breakfast & Lunch,Beverages,Local Whole Milk,1.50,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
Local Chocolate Milk,City Bagel Cafe,Breakfast & Lunch,Beverages,Local Chocolate Milk,3.00,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
Bottled Watter,City Bagel Cafe,Breakfast & Lunch,Beverages,Bottled Watter,1.75,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
Apple Juice,City Bagel Cafe,Breakfast & Lunch,Beverages,Apple Juice,2.25,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
Orange Juice,City Bagel Cafe,Breakfast & Lunch,Beverages,Orange Juice,2.25,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
Fountain Drink,City Bagel Cafe,Breakfast & Lunch,Beverages,Fountain Drink,2.25,Active,"Activate, Deactivate, Feature, Edit",0,,,"Coke, Diet Coke, Dr. Pepper, Sprite, Powerade, Hi-C, Iced Tea",,,,
Cheese Toast,City Bagel Cafe,Breakfast & Lunch,Breakfast Bagels,Cheese Toast with your choice of cheese and bagel.,3.75,Active,"Activate, Deactivate, Feature, Edit",0,,,"Spinach and Cheddar, Jalapeno and Cheddar, Asiago Cheese, Red Pepper Parmesan, Specialty Bagel, Sesame, Poppy Seed, Everything Bagel, Onion, Cinnamon Raisin, Cinnamon Sugar, Whole Wheat, Honey, Focaccia, Italian Roll, Plain","American, Pepper Jack, Cheddar, Mozzarella",,"Bacon:1.50, Sausage:1.50, Ham:1.50, Turkey:1.50, American:0.75, Pepper Jack:0.75, Cheddar:0.75, Mozzarella:0.75, Spinach:0.75, Tomato:0.75, Cucumber:0.75, Black Olives:0.75, Green Peppers:0.75, Onion:0.75, Capers:0.75, Mushrooms:0.75, Jalapenos:0.75",
Egg,City Bagel Cafe,Breakfast & Lunch,Breakfast Bagels,Egg on your choice of bagel.,2.75,Active,"Activate, Deactivate, Feature, Edit",0,,,"Spinach and Cheddar, Jalapeno and Cheddar, Asiago Cheese, Red Pepper Parmesan, Specialty Bagel, Sesame, Poppy Seed, Everything Bagel, Onion, Cinnamon Raisin, Cinnamon Sugar, Whole Wheat, Honey, Focaccia, Italian Roll, Plain",,,"Bacon:1.50, Sausage:1.50, Ham:1.50, Turkey:1.50, American:0.75, Pepper Jack:0.75, Cheddar:0.75, Mozzarella:0.75, Spinach:0.75, Tomato:0.75, Cucumber:0.75, Black Olives:0.75, Green Peppers:0.75, Onion:0.75, Capers:0.75, Mushrooms:0.75, Jalapenos:0.76",
Egg & Cheese,City Bagel Cafe,Breakfast & Lunch,Breakfast Bagels,Egg & Cheese on your choice of bagel.,3.25,Active,"Activate, Deactivate, Feature, Edit",0,,,"Spinach and Cheddar, Jalapeno and Cheddar, Asiago Cheese, Red Pepper Parmesan, Specialty Bagel, Sesame, Poppy Seed, Everything Bagel, Onion, Cinnamon Raisin, Cinnamon Sugar, Whole Wheat, Honey, Focaccia, Italian Roll, Plain","American, Pepper Jack, Cheddar, Mozzarella",,"Bacon:1.50, Sausage:1.50, Ham:1.50, Turkey:1.50, American:0.75, Pepper Jack:0.75, Cheddar:0.75, Mozzarella:0.75, Spinach:0.75, Tomato:0.75, Cucumber:0.75, Black Olives:0.75, Green Peppers:0.75, Onion:0.75, Capers:0.75, Mushrooms:0.75, Jalapenos:0.77",
"Bacon, Egg, & Cheese",City Bagel Cafe,Breakfast & Lunch,Breakfast Bagels,"Bacon, Egg, & Cheese on your choice of bagel.",4.75,Active,"Activate, Deactivate, Feature, Edit",0,,,"Spinach and Cheddar, Jalapeno and Cheddar, Asiago Cheese, Red Pepper Parmesan, Specialty Bagel, Sesame, Poppy Seed, Everything Bagel, Onion, Cinnamon Raisin, Cinnamon Sugar, Whole Wheat, Honey, Focaccia, Italian Roll, Plain","American, Pepper Jack, Cheddar, Mozzarella",,"Bacon:1.50, Sausage:1.50, Ham:1.50, Turkey:1.50, American:0.75, Pepper Jack:0.75, Cheddar:0.75, Mozzarella:0.75, Spinach:0.75, Tomato:0.75, Cucumber:0.75, Black Olives:0.75, Green Peppers:0.75, Onion:0.75, Capers:0.75, Mushrooms:0.75, Jalapenos:0.78",
Sausage & Cheese,City Bagel Cafe,Breakfast & Lunch,Breakfast Bagels,Sausage & Cheese on your choice of bagel.,4.00,Active,"Activate, Deactivate, Feature, Edit",0,,,"Spinach and Cheddar, Jalapeno and Cheddar, Asiago Cheese, Red Pepper Parmesan, Specialty Bagel, Sesame, Poppy Seed, Everything Bagel, Onion, Cinnamon Raisin, Cinnamon Sugar, Whole Wheat, Honey, Focaccia, Italian Roll, Plain","American, Pepper Jack, Cheddar, Mozzarella",,"Bacon:1.50, Sausage:1.50, Ham:1.50, Turkey:1.50, American:0.75, Pepper Jack:0.75, Cheddar:0.75, Mozzarella:0.75, Spinach:0.75, Tomato:0.75, Cucumber:0.75, Black Olives:0.75, Green Peppers:0.75, Onion:0.75, Capers:0.75, Mushrooms:0.75, Jalapenos:0.79",
